precision,lang,layer_num,layer_label,top1_token,top1_prob,p_cairo_en,p_cairo_ar,p_egypt_en,p_egypt_ar,p_capital_en,p_city_ar,p_qmark_en,p_qmark_ar,p_dots,p_colon,p_what_en
FP16 Baseline,Masri,24,L23,..,0.4176398813724518,0.001462580752559,9.061152013600804e-06,3.515697926559369e-06,6.339264473353978e-07,0.0163171775639057,3.709823431563564e-06,0.0230018701404333,8.681472536409274e-05,0.4176398813724518,0.0190515518188476,0.0001946001866599
FP16 Baseline,Masri,25,L24, ؟,0.2778995335102081,0.0004124537517782,0.017810646444559,1.7707781807985157e-05,0.0019451514817774,0.000791082798969,0.0106232818216085,0.0004279569839127,0.2778995335102081,0.0341421701014041,0.1353121846914291,0.0001056107648764
FP16 Baseline,Masri,26,L25, القاهرة,0.2382106184959411,0.0001629212783882,0.2382106184959411,6.072214659980091e-07,0.0335950478911399,6.2515027821064e-07,0.0383663140237331,0.000330510927597,0.0255232285708189,0.0092489095404744,0.0979366824030876,4.329938576574932e-07
Int8 Quantized,EN,0,embed, is,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Int8 Quantized,EN,1,L0, is,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Int8 Quantized,EN,2,L1,<bos>,0.9311324954032898,0.0,0.0,0.0,0.0,0.0,0.0,4.5271343110387204e-39,0.0,1.6535321879032841e-43,1.2452526475137588e-36,1.195307590069069e-42
Int8 Quantized,EN,3,L2, is,1.0,1.401298464324817e-45,1.1626335137764072e-39,2.6624670822171524e-44,2.6275523296800353e-38,4.3266491384493047e-41,2.903136730348625e-38,8.025651520012556e-35,1.1024661858214468e-37,4.3610664300315864e-39,6.017064004158988e-34,2.0933150134855524e-33
Int8 Quantized,EN,4,L3,<bos>,1.0,0.0,2.382207389352189e-44,0.0,1.095815399102007e-42,2.5083845069753885e-39,9.661392392133884e-41,1.2589063616515294e-38,7.92994800961414e-42,1.3850434021386492e-41,3.233808527831244e-37,1.2400143472255828e-36
Int8 Quantized,EN,5,L4, is,0.9999933242797852,2.5425692663088224e-30,1.802197010291998e-28,4.151309140059581e-32,4.1269246701057566e-27,5.023854679557134e-23,6.8103619194797645e-25,1.7852433812144726e-26,3.364164814900256e-26,3.6509056030183486e-32,1.115746720543779e-24,1.0708382134285292e-20
Int8 Quantized,EN,6,L5,<bos>,0.9999991655349731,1.95056682468468e-39,1.605223129600112e-36,1.5125615623922075e-41,9.847607496742748e-34,1.440872450831158e-30,2.782833000042036e-33,2.028229926355117e-31,1.7416307972775328e-34,3.0367237774844444e-35,5.9722959681662814e-30,1.1484618927985744e-29
Int8 Quantized,EN,7,L6, is,0.9999996423721312,7.80695639341556e-30,9.154499693496516e-28,1.0136030118778885e-30,1.8837138681550587e-26,3.223830414519764e-22,1.853663619594342e-23,1.3223301434150746e-23,1.6132015199076307e-24,3.690917627041808e-27,1.7466665843106605e-21,3.420474227850598e-20
Int8 Quantized,EN,8,L7, is,0.999995231628418,8.281016076598732e-25,2.1480807089191176e-23,7.821603946477744e-26,8.275497994566711e-23,5.16837650964535e-14,7.936179908092601e-17,7.850747412298176e-19,3.418320003966265e-20,8.236288452133606e-23,7.541761332309351e-18,1.147729246482883e-16
Int8 Quantized,EN,9,L8, is,0.9999916553497314,1.9707992088278944e-23,1.8620763793864168e-22,2.6552900297558213e-23,1.6877681339122956e-21,3.1872456605387683e-13,1.4317533432711e-14,1.2350072897573945e-17,6.327000461606686e-20,6.0173976635412415e-21,4.811630478579953e-16,6.845805512399573e-16
Int8 Quantized,EN,10,L9, is,0.9995071887969972,6.3505486942148074e-21,4.034531755579338e-20,1.4351691872133e-20,1.583723490462236e-19,1.6581756800970735e-10,1.2823186956723019e-11,2.348403081427284e-16,1.3465394994367124e-15,2.1931794382927377e-18,8.925727588678449e-14,1.6068132338998425e-13
Int8 Quantized,EN,11,L10, is,0.9981145858764648,9.516647677702374e-20,1.892078250697923e-18,7.609220496202466e-19,9.97138828074884e-19,8.830051967390061e-11,1.240349073450275e-10,3.4618636777350836e-15,5.581346576046236e-15,4.5462934208419916e-18,1.132218125678153e-12,1.1696300395228065e-12
Int8 Quantized,EN,12,L11, is,0.8155563473701477,1.8623806055508907e-16,2.982224071572284e-16,2.626337620129673e-16,3.1479089438366965e-17,2.2911936237157704e-10,1.2755728695523771e-09,2.728627701120267e-15,1.4446717476815365e-13,1.2221986461261948e-17,3.1400473584145e-13,1.2663783867036817e-12
